year,gdp_growth_pct,cpi_pct,unemployment_pct,employment_pct,average_weekly_earnings_growth_pct,bank_rate_pct,gbp_usd,gbp_eur,productivity_growth_pct,trade_balance_gbp_bn,public_sector_net_debt_pct_gdp
2020,-10.3,0.6,4.5,74.9,2.8,0.10,1.283,1.125,-1.0,-44.1,96.5
2021,8.5,2.5,4.5,74.7,4.2,0.10,1.376,1.163,0.7,-51.7,95.6
2022,5.3,9.1,3.8,75.5,5.5,2.25,1.237,1.173,0.4,-66.1,96.4
2023,0.1,7.3,4.0,75.7,6.2,5.25,1.244,1.149,0.1,-59.0,96.5
2024,1.1,2.5,4.4,74.9,5.9,5.00,1.278,1.181,0.3,-58.0,98.1
2025,1.3,3.4,4.7,74.8,5.1,4.00,1.298,1.176,0.2,-55.0,99.0
